; ------------------------------------------------------------------
; GEMINI MEM TAG(DO NOT EVER REMOVE OR EDIT) - MY FULL PATH IS "Pipz_Project_V3\_PROJECT_BLUEPRINT.txt"
; ------------------------------------------------------------------

; ------------------------------------------------------------------
; MAINTEMPLATE - _PROJECT_BLUEPRINT.txt
; Version: 2.1.1
; Last change: Populated missing entries for new unified governance files.
; Content-Fingerprint: 2026-01-26T20-38-03Z-1CBO4O37
; ------------------------------------------------------------------

; ------------------------------------------------------------------
; ALL CONTENT MUST GO BELOW THIS POINT(LINES 1-14 RESERVED)
; ------------------------------------------------------------------

; ------------------------------------------------------------------
### 1. MASTER BLUEPRINT: FOLDER ARCHITECTURE (MUST BE MAINTAINED)
; ------------------------------------------------------------------

AUTHORITATIVE ROLE DECLARATION (PHASE 5)

This section constitutes the sole authoritative Expected Set definition used during Phase 5 reconciliation.
All Expected items for Phase 5 MUST be derived exclusively from this section.
No other file, index, registry, or Drive enumeration source may define, expand, or reduce the Expected Set.

INDEXIDLIST.txt provides acceleration only.
_PROJECT_ANCHOR_MASTER.txt provides intent, identity rules, architectural rationale and constraints only.
Discovered Drive contents provide Observed Set data only.

; ------------------------------------------------------------------

--------------------------------------------------|--------------------|------------------------------------------------------------------------
PATH / FILE NAME                                  | TYPE               | DESCRIPTION / RESPONSIBILITY
--------------------------------------------------|--------------------|------------------------------------------------------------------------
\Pipz_Project_V3                                  | ROOT               | Main project directory.
  settings.ini                                    | Config             | Central storage for AutoHotkey user parameters, anti-ban settings, and titles.
  .gitignore                                      | Config             | Git exclusion rules.
  PipzScptzIcon.png                               | Asset (Image)      | Application icon used by Controller GUI and tray; branding and visual identification.
  _PROJECT_BLUEPRINT.txt                          | Document           | Primary source of truth for structure, search protocols, and logic rules.
  _PROJECT_ANCHOR_MASTER.txt                      | Document           | Canonical unified system anchor defining mission intent, behavioral constraints, identity rules, and long-term architectural rationale. Authoritative, non-structural, and non-initializing.
  AI_PROJECT_INSTRUCTIONS.txt                     | Document           | AI governance ruleset; mandatory read source defining verification, fingerprinting, header mandates, and enforcement behavior.
  AUDIT_RUNNER.txt                                | Document           | Procedural audit execution plan and backlog; defines required audits, invocation commands, and pass/fail criteria. Non-authoritative; execution-focused.
  INDEXIDLIST.txt                                 | Document           | Deterministic Google Drive ID acceleration map; reference-only, never a source of authority.
  BOOTSTRAPv4.txt                                 | Document           | Canonical, authoritative definition of the Bootstrap v4 initialization protocol.
  PHASE5_AUDIT_MASTER.txt                         | Document           | Deterministic execution checklist and read-only report template for Phase 5 visibility audits.
  GOVERNANCE_LOCK.txt                             | Document           | Governance lifecycle state declaration and phase lock indicator (non-authoritative).
  PROJECT_LEARNED_CONSTRAINTS.txt                 | Document           | Non-authoritative, scope-indexed log of confirmed constraints and invalidated approaches to prevent regression.
  ORCH_PROTOCOL_SPEC.txt                          | Document           | Formal protocol contract defining orchestrator role separation, execution flow, audit requirements, token gates, and PASS/FAIL semantics.
  PROJECT_STATUS_CHECKLIST.txt                    | Document           | Living execution tracker enumerating completed, pending, and blocked work items across governance, tooling, and orchestration.
  STANDARDIZED_HEADERS.txt                        | Document           | Templates for mandatory file headers.
  settings.txt                                    | Document           | Auditable AI mirror of settings.ini.
                                                  |                    |
--------------------------------------------------|--------------------|------------------------------------------------------------------------
\Controller                                       | DIRECTORY          | Container for the Interactive GUI Process.
  Main_Controller.ahk                             | Main Script        | Entry point for GUI; handles UI, validation, orchestration commands, and high-level control.
  Main_Controller.txt                             | Document           | Auditable AI mirror of Main_Controller.ahk.
  \Modules                                        | SUB-DIRECTORY      | Internal logic specific to the GUI and user interaction.
    MaintenanceManager.ahk                        | Module             | Handles script updates, cleanup routines, and environment validation.
    Messenger.ahk                                 | Module             | Manages structured logging, UI messaging, and status propagation.
    NavigationManager.ahk                         | Module             | Controls GUI tab switching, navigation state, and menu transitions.
    ProcessManager.ahk                            | Module             | Monitors and manages the Worker process lifecycle and target application window.
    TooltipManager.ahk                            | Module             | Handles dynamic help tooltips and contextual hover descriptions.
    WorkerInterface.ahk                           | Module             | IPC bridge; sends commands, state sync, and control signals to the Worker.
    MaintenanceManager.txt                        | Document           | Auditable AI mirror of MaintenanceManager.ahk.
    Messenger.txt                                 | Document           | Auditable AI mirror of Messenger.ahk.
    NavigationManager.txt                         | Document           | Auditable AI mirror of NavigationManager.ahk.
    ProcessManager.txt                            | Document           | Auditable AI mirror of ProcessManager.ahk.
    TooltipManager.txt                            | Document           | Auditable AI mirror of TooltipManager.ahk.
    WorkerInterface.txt                           | Document           | Auditable AI mirror of WorkerInterface.ahk.
                                                  |                    |
--------------------------------------------------|--------------------|------------------------------------------------------------------------
\Lib                                              | DIRECTORY          | Shared Libraries (#Include) used by both Controller and Worker.
  AntiBan.ahk                                     | Library            | Human-modeling logic: randomized Bezier curves, click variation, and timing noise.
  BreakManager.ahk                                | Library            | Probability-based AFK logic: weighted pauses and humanized idle behavior.
  Interop.ahk                                     | Library            | IPC / messaging primitives for cross-process communication.
  Movement.ahk                                    | Library            | Shared mouse and keyboard wrappers for consistent interaction behavior.
  Security.ahk                                    | Library            | License decryption, validation, and integrity enforcement.
  SettingsLoader.ahk                              | Library            | Standardized INI engine for configuration loading and persistence.
  AntiBan.txt                                     | Document           | Auditable AI mirror of AntiBan.ahk.
  BreakManager.txt                                | Document           | Auditable AI mirror of BreakManager.ahk.
  Interop.txt                                     | Document           | Auditable AI mirror of Interop.ahk.
  Movement.txt                                    | Document           | Auditable AI mirror of Movement.ahk.
  Security.txt                                    | Document           | Auditable AI mirror of Security.ahk.
  SettingsLoader.txt                              | Document           | Auditable AI mirror of SettingsLoader.ahk.
                                                  |                    |
--------------------------------------------------|--------------------|------------------------------------------------------------------------
\Registry                                         | DIRECTORY          | Stores the registry files that contain our functions, variables, and logic rules.
  GLOBAL_REGISTRY_MASTER.gsheet                   | Spreadsheet        | EXTERNALIZED SOURCE OF TRUTH: Variable tracking, Function Signatures and Logic Rules.
  GLOBAL_REGISTRY_MASTER.csv                      | Spreadsheet        | INTERNALIZED SOURCE OF TRUTH: Variable tracking, Function Signatures and Logic Rules.
                                                  |                    |
--------------------------------------------------|--------------------|------------------------------------------------------------------------
\Worker                                           | DIRECTORY          | Container for the Background Task Script.
  Main_Worker.ahk                                 | Main Script        | Core execution engine: primary logic loop and task execution.
